file name,lifelines,messages,nesting_depth,cyclomatic_complexity,cohesion,coupling,completeness,clarity
080_neurohub_9.txt,5,16,0,18,Medium/Low,High,Incomplete (missing responses),Medium/Low
081_openspending_12.txt,4,15,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
082_openspending_14.txt,3,11,0,14,Medium/Low,High,Incomplete (missing responses),Medium/Low
083_openspending_36.txt,6,10,0,12,Medium/Low,High,Incomplete (missing responses),Medium/Low
084_openspending_37.txt,4,11,0,13,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
085_openspending_46.txt,4,10,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
086_openspending_49.txt,4,6,0,8,Medium/Low,High,Incomplete (missing responses),Medium/Low
087_planningpoker_18.txt,6,17,0,19,Medium/Low,High,Incomplete (missing responses),Medium/Low
088_planningpoker_2.txt,2,6,0,8,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
089_planningpoker_7.txt,3,12,0,14,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
090_racdam_4.txt,5,13,0,15,Medium/Low,High,Incomplete (missing responses),Medium/Low
091_racdam_7.txt,3,9,0,12,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
092_racdam_71.txt,5,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
093_rdadmp_14.txt,4,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
094_rdadmp_43.txt,3,14,0,16,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
095_scrumalliance_47.txt,3,18,0,20,Medium/Low,High,Incomplete (missing responses),Medium/Low
096_scrumalliance_60.txt,4,8,0,10,Medium/Low,High,Incomplete (missing responses),Medium/Low
097_scrumalliance_87.txt,4,11,0,13,Medium/Low,High,Incomplete (missing responses),Medium/Low
098_unibath_1.txt,5,25,0,27,Medium/Low,High,Incomplete (missing responses),Medium/Low
099_unibath_26.txt,5,10,0,12,Medium/Low,High,Incomplete (missing responses),Medium/Low
100_zooniverse_27.txt,4,14,0,17,Medium/Low,Medium/Low,Incomplete (missing responses),Medium/Low
